#solver	iter	latency-throughput
		6. : 0.488019920443
		7. : 0.535062686332
		8. : 0.573693839263
		9. : 0.594267123029
semimcfmcf	5	
		1. : 0.132879287732
		2. : 0.20101996424
		3. : 0.277283573818
		4. : 0.360758252321
		5. : 0.421669883728
		6. : 0.483927868139
		7. : 0.533070337028
		8. : 0.573328552181
		9. : 0.594481143308
semimcfmcf	6	
		1. : 0.128683976274
		2. : 0.192083633577
		3. : 0.268408956492
		4. : 0.345902802431
		5. : 0.404673983976
		6. : 0.471269089829
		7. : 0.525175926234
		8. : 0.56276063818
		9. : 0.582870586653
semimcfmcf	7	
		1. : 0.128563159216
		2. : 0.190851796979
		3. : 0.268478250251
		4. : 0.351763233997
		5. : 0.41128220866
		6. : 0.477243810633
		7. : 0.531477946672
		8. : 0.570751401047
		9. : 0.591135873503
semimcfmcf	8	
		1. : 0.137589519661
		2. : 0.200760553771
		3. : 0.279971870385
		4. : 0.36550003068
		5. : 0.417661327702
		6. : 0.485028060375
		7. : 0.542665377998
		8. : 0.582809248679
		9. : 0.603310565485
semimcfmcf	9	
		1. : 0.137444083563
		2. : 0.20342807054
		3. : 0.279738946567
		4. : 0.365163161902
		5. : 0.417407944321
		6. : 0.485684120618
		7. : 0.541084071104
		8. : 0.58295689104
		9. : 0.604293735468
semimcfraeke	0	
		1. : 0.200924971118
		2. : 0.399016654339
		3. : 0.540797255242
		4. : 0.648762449849
		5. : 0.768244023602
		6. : 0.84735806894
		7. : 0.857165177257
		8. : 0.874271056589
		9. : 0.888378209881
		10. : 0.890879829947
semimcfraeke	1	
		1. : 0.195827069017
		2. : 0.373465948354
		3. : 0.518810527797
		4. : 0.685011200874
		5. : 0.758752396058
		6. : 0.83087655494
		7. : 0.872589597721
		8. : 0.882675513934
		9. : 0.893562736249
		10. : 0.893562736249
semimcfraeke	2	
		1. : 0.122413501576
		2. : 0.23058770771
		3. : 0.334442460973
		4. : 0.450334094865
		5. : 0.538793791839
		6. : 0.60336052844
		7. : 0.639243003186
		8. : 0.645232986714
		9. : 0.652437574251
		10. : 0.654849816183
		11. : 0.654849816183
semimcfraeke	3	
		1. : 0.124497519035
		2. : 0.214036034756
		3. : 0.30757222421
		4. : 0.410977778789
		5. : 0.505566689307
		6. : 0.567399502696
		7. : 0.591880581374
		8. : 0.60462057974
		9. : 0.611976516842
		10. : 0.612847252792
		11. : 0.612943829405
semimcfraeke	4	
		1. : 0.119080897069
		2. : 0.210815605993
		3. : 0.311014720135
		4. : 0.408049659356
		5. : 0.508607385253
		6. : 0.565537523758
		7. : 0.601963259511
		8. : 0.611472157905
		9. : 0.615360279031
		10. : 0.623087365899
		11. : 0.626127746135
semimcfraeke	5	
		1. : 0.115872099092
		2. : 0.218129636355
		3. : 0.310259561243
		4. : 0.397982958831
		5. : 0.509717033319
		6. : 0.582989086125
		7. : 0.61657826253
		8. : 0.631456806111
		9. : 0.636420631134
		10. : 0.638485593787
		11. : 0.638953159223
semimcfraeke	6	
		1. : 0.125115515362
		2. : 0.20998212132
		3. : 0.33592566752
		4. : 0.427234119457
		5. : 0.53542172291
		6. : 0.590231306168
		7. : 0.621417760989
		8. : 0.634665601046
		9. : 0.639107083618
		10. : 0.63927626056
		11. : 0.63927626056
semimcfraeke	7	
		1. : 0.119857540679
		2. : 0.238089387914
		3. : 0.343413568857
		4. : 0.419623802697
		5. : 0.51943408057
		6. : 0.593462816028
		7. : 0.622657629641
		8. : 0.638810099054
		9. : 0.640245025998
		10. : 0.640502105534
		11. : 0.64175553906
semimcfraeke	8	
		1. : 0.130118507457
		2. : 0.241666965689
		3. : 0.336415251144
		4. : 0.43692016504
		5. : 0.534729960532
		6. : 0.587493960485
		7. : 0.616316144408
		8. : 0.635553619457
		9. : 0.639713276183
		10. : 0.640127618511
		11. : 0.640709781093
semimcfraeke	9	
		1. : 0.121513882943
		2. : 0.208043624306
		3. : 0.31651500244
		4. : 0.419784382873
		5. : 0.533329882307
		6. : 0.587834446893
		7. : 0.621950000307
		8. : 0.629422873942
		9. : 0.63608601119
		10. : 0.637783926938
		11. : 0.63820123496
semimcfvlb	0	
		1. : 0.203199042901
		2. : 0.439479093606
		3. : 0.605463740062
		4. : 0.76907492997
		5. : 0.824243533103
		6. : 0.877532354811
		7. : 0.895910382572
		8. : 0.897497207177
		9. : 0.899378370271
		10. : 0.899378370271
semimcfvlb	1	
		1. : 0.235128873124
		2. : 0.403757871749
		3. : 0.546117304628
		4. : 0.724599250338
		5. : 0.850189488402
		6. : 0.875714977764
		7. : 0.903166748884
		8. : 0.903939086868
		9. : 0.90678960377
		10. : 0.90678960377
semimcfvlb	2	
		1. : 0.139733865921
		2. : 0.268174368866
		3. : 0.385188500955
		4. : 0.491546734191
