#solver	iter	latency-throughput
		4. : 0.717532731207
		5. : 0.795777573827
		6. : 0.838312110197
spf	3	
		1. : 0.224465306608
		2. : 0.445398453335
		3. : 0.59204018068
		4. : 0.712209570246
		5. : 0.789500132326
		6. : 0.834203370784
spf	4	
		1. : 0.22438085038
		2. : 0.450234266456
		3. : 0.600265635264
		4. : 0.722069036989
		5. : 0.797421438039
		6. : 0.840919263252
spf	5	
		1. : 0.22685874703
		2. : 0.454673754184
		3. : 0.611512472302
		4. : 0.731878447882
		5. : 0.809059992427
		6. : 0.852188221386
spf	6	
		1. : 0.226050799361
		2. : 0.461839811955
		3. : 0.62466861804
		4. : 0.744584513771
		5. : 0.817527177027
		6. : 0.856745005551
spf	7	
		1. : 0.227561874958
		2. : 0.459658044784
		3. : 0.62097767026
		4. : 0.740940987848
		5. : 0.816948156347
		6. : 0.858199918471
spf	8	
		1. : 0.226008352186
		2. : 0.459581195422
		3. : 0.623026030904
		4. : 0.7424028452
		5. : 0.817927440583
		6. : 0.858621980462
spf	9	
		1. : 0.226833695501
		2. : 0.454952269627
		3. : 0.609224091794
		4. : 0.731854625803
		5. : 0.809374632297
		6. : 0.852158516319
vlb	0	
		1. : 0.20544139665
		2. : 0.398859345456
		3. : 0.625582502949
		4. : 0.827263245343
		5. : 0.939709739505
		6. : 0.993790084068
		7. : 0.999700056465
		8. : 0.999768468057
		9. : 1.
vlb	1	
		1. : 0.199739154577
		2. : 0.398042882203
		3. : 0.631947488872
		4. : 0.836861939067
		5. : 0.939681099705
		6. : 0.985274158998
		7. : 0.992099783921
		8. : 0.996460477637
		9. : 1.
vlb	2	
		1. : 0.190160440703
		2. : 0.346257890631
		3. : 0.508629716522
		4. : 0.663629496111
		5. : 0.77822567701
		6. : 0.862045289685
		7. : 0.878148595153
		8. : 0.886129172733
		9. : 0.888459479786
		10. : 0.888625454275
vlb	3	
		1. : 0.193739273299
		2. : 0.349905904071
		3. : 0.512230514475
		4. : 0.670101000971
		5. : 0.781454105855
		6. : 0.858971412143
		7. : 0.873162590051
		8. : 0.879346032203
		9. : 0.883187191472
		10. : 0.883371227106
vlb	4	
		1. : 0.193649755118
		2. : 0.353596391438
		3. : 0.516582557608
		4. : 0.670041428461
		5. : 0.778289664708
		6. : 0.865916784096
		7. : 0.8796907976
		8. : 0.887053809369
		9. : 0.889434700725
		10. : 0.889605897673
vlb	5	
		1. : 0.195787716905
		2. : 0.360045118411
		3. : 0.529319785078
		4. : 0.684977337677
		5. : 0.800740025129
		6. : 0.877667159766
		7. : 0.891975994715
		8. : 0.898880172239
		9. : 0.900722831352
		10. : 0.900846354569
		11. : 0.900906893344
