# solver	iter	mean-congestion	stddev
akvlb	98	0.003985	0.000000
akvlb	99	0.004168	0.000000
ecmp	0	0.001719	0.000000
ecmp	1	0.001729	0.000000
ecmp	2	0.001870	0.000000
ecmp	3	0.001743	0.000000
ecmp	4	0.001929	0.000000
ecmp	5	0.001876	0.000000
ecmp	6	0.001620	0.000000
ecmp	7	0.001599	0.000000
ecmp	8	0.001782	0.000000
ecmp	9	0.001796	0.000000
ecmp	10	0.001903	0.000000
ecmp	11	0.001745	0.000000
ecmp	12	0.001646	0.000000
ecmp	13	0.001689	0.000000
ecmp	14	0.001708	0.000000
ecmp	15	0.001734	0.000000
ecmp	16	0.001828	0.000000
ecmp	17	0.001700	0.000000
ecmp	18	0.001643	0.000000
ecmp	19	0.001697	0.000000
ecmp	20	0.001833	0.000000
ecmp	21	0.001789	0.000000
ecmp	22	0.001861	0.000000
ecmp	23	0.001788	0.000000
ecmp	24	0.001772	0.000000
ecmp	25	0.001818	0.000000
ecmp	26	0.001727	0.000000
ecmp	27	0.001690	0.000000
ecmp	28	0.001858	0.000000
ecmp	29	0.001767	0.000000
ecmp	30	0.001668	0.000000
ecmp	31	0.001702	0.000000
ecmp	32	0.001849	0.000000
ecmp	33	0.001683	0.000000
ecmp	34	0.001890	0.000000
ecmp	35	0.001898	0.000000
ecmp	36	0.001843	0.000000
ecmp	37	0.001865	0.000000
ecmp	38	0.001902	0.000000
ecmp	39	0.001898	0.000000
ecmp	40	0.002059	0.000000
ecmp	41	0.002003	0.000000
ecmp	42	0.001996	0.000000
ecmp	43	0.002049	0.000000
ecmp	44	0.002190	0.000000
ecmp	45	0.002184	0.000000
ecmp	46	0.002344	0.000000
ecmp	47	0.002195	0.000000
ecmp	48	0.002058	0.000000
ecmp	49	0.002122	0.000000
ecmp	50	0.002236	0.000000
ecmp	51	0.002329	0.000000
ecmp	52	0.002560	0.000000
ecmp	53	0.002423	0.000000
ecmp	54	0.002211	0.000000
ecmp	55	0.002338	0.000000
ecmp	56	0.002555	0.000000
ecmp	57	0.002587	0.000000
ecmp	58	0.002621	0.000000
ecmp	59	0.002620	0.000000
ecmp	60	0.002530	0.000000
ecmp	61	0.002524	0.000000
ecmp	62	0.002575	0.000000
ecmp	63	0.002550	0.000000
ecmp	64	0.002626	0.000000
ecmp	65	0.002555	0.000000
ecmp	66	0.002546	0.000000
ecmp	67	0.002642	0.000000
ecmp	68	0.002585	0.000000
ecmp	69	0.002489	0.000000
ecmp	70	0.002626	0.000000
ecmp	71	0.002714	0.000000
ecmp	72	0.002610	0.000000
ecmp	73	0.002699	0.000000
ecmp	74	0.002677	0.000000
ecmp	75	0.002544	0.000000
ecmp	76	0.002671	0.000000
ecmp	77	0.002724	0.000000
ecmp	78	0.002360	0.000000
ecmp	79	0.002463	0.000000
ecmp	80	0.002586	0.000000
ecmp	81	0.002665	0.000000
ecmp	82	0.002743	0.000000
ecmp	83	0.002625	0.000000
ecmp	84	0.002436	0.000000
ecmp	85	0.002596	0.000000
ecmp	86	0.002728	0.000000
ecmp	87	0.002652	0.000000
ecmp	88	0.002837	0.000000
ecmp	89	0.002736	0.000000
ecmp	90	0.002695	0.000000
ecmp	91	0.002792	0.000000
ecmp	92	0.002702	0.000000
ecmp	93	0.002608	0.000000
ecmp	94	0.002696	0.000000
ecmp	95	0.002706	0.000000
ecmp	96	0.002591	0.000000
ecmp	97	0.002735	0.000000
ecmp	98	0.002739	0.000000
ecmp	99	0.002865	0.000000
mcf	0	0.002419	0.000000
mcf	1	0.002420	0.000000
mcf	2	0.002600	0.000000
mcf	3	0.002453	0.000000
mcf	4	0.002683	0.000000
mcf	5	0.002604	0.000000
mcf	6	0.002275	0.000000
mcf	7	0.002250	0.000000
mcf	8	0.002465	0.000000
mcf	9	0.002580	0.000000
mcf	10	0.002699	0.000000
mcf	11	0.002417	0.000000
mcf	12	0.002305	0.000000
mcf	13	0.002416	0.000000
mcf	14	0.002392	0.000000
mcf	15	0.002450	0.000000
mcf	16	0.002525	0.000000
mcf	17	0.002375	0.000000
mcf	18	0.002294	0.000000
mcf	19	0.002375	0.000000
mcf	20	0.002550	0.000000
mcf	21	0.002575	0.000000
mcf	22	0.002602	0.000000
mcf	23	0.002482	0.000000
mcf	24	0.002489	0.000000
mcf	25	0.002582	0.000000
mcf	26	0.002429	0.000000
mcf	27	0.002383	0.000000
mcf	28	0.002592	0.000000
mcf	29	0.002459	0.000000
mcf	30	0.002344	0.000000
mcf	31	0.002327	0.000000
mcf	32	0.002539	0.000000
mcf	33	0.002354	0.000000
mcf	34	0.002623	0.000000
mcf	35	0.002611	0.000000
mcf	36	0.002558	0.000000
mcf	37	0.002640	0.000000
mcf	38	0.002654	0.000000
mcf	39	0.002696	0.000000
mcf	40	0.002937	0.000000
mcf	41	0.002820	0.000000
mcf	42	0.002792	0.000000
mcf	43	0.002883	0.000000
mcf	44	0.003057	0.000000
mcf	45	0.003118	0.000000
mcf	46	0.003329	0.000000
mcf	47	0.003117	0.000000
mcf	48	0.002915	0.000000
mcf	49	0.003024	0.000000
mcf	50	0.003126	0.000000
mcf	51	0.003288	0.000000
mcf	52	0.003637	0.000000
mcf	53	0.003440	0.000000
mcf	54	0.003073	0.000000
mcf	55	0.003259	0.000000
mcf	56	0.003592	0.000000
mcf	57	0.003697	0.000000
mcf	58	0.003732	0.000000
mcf	59	0.003657	0.000000
mcf	60	0.003563	0.000000
mcf	61	0.003595	0.000000
mcf	62	0.003676	0.000000
mcf	63	0.003664	0.000000
mcf	64	0.003742	0.000000
mcf	65	0.003653	0.000000
mcf	66	0.003613	0.000000
mcf	67	0.003710	0.000000
mcf	68	0.003653	0.000000
mcf	69	0.003516	0.000000
mcf	70	0.003661	0.000000
mcf	71	0.003842	0.000000
mcf	72	0.003726	0.000000
mcf	73	0.003833	0.000000
mcf	74	0.003776	0.000000
mcf	75	0.003606	0.000000
mcf	76	0.003770	0.000000
mcf	77	0.003852	0.000000
