#solver	iter	latency-throughput
		11. : 0.9097429815
raeke	19	
		1. : 0.140448698144
		2. : 0.261475395954
		3. : 0.492405972662
		4. : 0.59453950847
		5. : 0.756546649508
		6. : 0.819766070113
		7. : 0.855385850068
		8. : 0.891066885019
		9. : 0.893660817218
		10. : 0.895037876707
raeke	20	
		1. : 0.140391001459
		2. : 0.261310147245
		3. : 0.489350346556
		4. : 0.583569947216
		5. : 0.747873651281
		6. : 0.814310041952
		7. : 0.840285609867
		8. : 0.88574488225
		9. : 0.886847270205
		10. : 0.887368578282
		11. : 0.888350940721
raeke	21	
		1. : 0.141302383748
		2. : 0.263100391472
		3. : 0.495637576877
		4. : 0.591024217953
		5. : 0.775141400966
		6. : 0.840572920189
		7. : 0.873168244347
		8. : 0.913666663927
		9. : 0.91558242425
		10. : 0.916906362826
		11. : 0.917078202798
raeke	22	
		1. : 0.139239891343
		2. : 0.262637962033
		3. : 0.489657515087
		4. : 0.585668171403
		5. : 0.743543431692
		6. : 0.81171256404
		7. : 0.844956261775
		8. : 0.887155003908
		9. : 0.889081755511
		10. : 0.890596638715
		11. : 0.890965582681
raeke	23	
		1. : 0.137707596597
		2. : 0.260201149106
		3. : 0.482270754501
		4. : 0.588465594459
		5. : 0.741473216951
		6. : 0.806226479507
		7. : 0.840437972437
		8. : 0.88173341817
		9. : 0.88356436718
		10. : 0.885559039074
		11. : 0.885624332861
semimcfecmp	0	
		1. : 0.178406510936
		2. : 0.647752571109
		3. : 0.887069419925
		4. : 0.93912374185
		5. : 1.
semimcfecmp	1	
		1. : 0.178757795664
		2. : 0.646273636836
		3. : 0.884881771424
		4. : 0.93922327362
		5. : 1.
semimcfecmp	2	
		1. : 0.174733632032
		2. : 0.339696213175
		3. : 0.630672117571
		4. : 0.69456990386
		5. : 0.831491678484
		6. : 0.900632780102
semimcfecmp	3	
		1. : 0.178558617784
		2. : 0.341457310612
		3. : 0.638042611509
		4. : 0.705839681916
		5. : 0.908936090986
		6. : 0.985413216445
semimcfecmp	4	
		1. : 0.179356529617
		2. : 0.339406121191
